source_image_key,x,y,canceled,sz_kind,cut_kind,porosity,pore_count,experience,image_hash
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,big,full,0.158396758314077,53174,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,big,cropped,0.115459610751080,1268,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,small,full,0.141622067144144,1171,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,small,cropped,0.079202867587713,106,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,big,full,0.182197524730664,71756,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,big,cropped,0.149109219959170,1586,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,small,full,0.179109714825406,1352,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,small,cropped,0.141337891088639,126,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,big,full,0.178628382897574,68574,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,big,cropped,0.144225990184209,1444,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,small,full,0.174410368077236,1363,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,small,cropped,0.133634809856146,133,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,big,full,0.237106039735713,93124,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
